antecedent,consequent,support,confidence,lift
Kødsauce,Løg,0.29736543552250094,0.9780265339966833,2.820314247253976
Pepperoni,Champignon,0.28324719526030506,0.9773814702044367,2.8302855276991408
Kødsauce,Ananas,0.29711332408924745,0.9771973466003318,2.7985944225922137
Spaghetti,Ananas,0.28249086096054454,0.9771092217135383,2.798342041824368
Kødsauce,Kebab,0.2966091012227405,0.9755389718076287,2.914859006911457
Agurk,Løg,0.15019538636077145,0.974642126789366,2.810554704405685
Champignon,Ananas,0.33650573553510654,0.974447891951086,2.7907202623999874
Løg,Champignon,0.337766292701374,0.9740094511086876,2.8205208890838542
Æg,Ananas,0.17918820118492373,0.9729637234770705,2.786469753914657
Æg,Champignon,0.17918820118492373,0.9729637234770705,2.8174926878421607
Æg,Jalapenos,0.17918820118492373,0.9729637234770705,3.0979414883979937
Artiskok,Kebab,0.1822765662422791,0.9727547931382442,2.9065400278590174
Oliven,Løg,0.25683852262700113,0.9725536992840096,2.8045323505707187
Tomat,Løg,0.17490230681961427,0.9719789842381786,2.802875057056151
Oliven,Ananas,0.256649439052061,0.9718377088305489,2.7832449617879944
Tacosauce,Spaghetti,0.1847346527165007,0.971816976127321,3.361423183613707
Oksekød,Kebab,0.2646539770578596,0.9717657949548716,2.9035849534376634
Jalapenos,Løg,0.3049918063784193,0.9711017459361831,2.80034538368293
Jalapenos,Champignon,0.3043615277952855,0.9690949227373069,2.806289476939243
Løg,Ananas,0.3358754569519728,0.9685568884042167,2.7738490237222564
Pepperoni,Løg,0.2806630530694567,0.9684645498042627,2.7927405574689987
Tomat,Ananas,0.17414597251985378,0.9677758318739055,2.771612156771008
Oksefilet,Gorgonzola,0.19381066431362662,0.9675896790434235,3.115214660654009
Pepperoni,Ananas,0.2803479137778898,0.9673771204871682,2.7704702876623486
Gorgonzola,Champignon,0.30032774486322955,0.9669237012987013,2.8000020888492783
Pølser,Kylling,0.1879490734904828,0.9659863945578231,2.8168241382198898
Gorgonzola,Løg,0.29988654985503593,0.9655032467532468,2.7842011110481666
Ananas,Champignon,0.33650573553510654,0.9637184115523466,2.7907202623999874
Artiskok,Ost,0.18057481406781797,0.9636730575176589,2.6674174338058574
Oksefilet,Jalapenos,0.19292827429723938,0.9631843926998113,3.0668038479982354
Artiskok,Ananas,0.18038573049287784,0.9626639757820383,2.7569723176458156
Tacosauce,Kebab,0.18290684482541283,0.9622015915119364,2.875007617877285
Pepperoni,Kebab,0.27883524517836883,0.9621574597651151,2.8748757545448806
Ananas,Løg,0.3358754569519728,0.961913357400722,2.7738490237222564
Kebab,Løg,0.3218202445480903,0.9615819209039549,2.77289326736862
Rucola,Løg,0.16651960166393545,0.9610767551837031,2.771436531760202
Jalapenos,Ananas,0.3015252741711837,0.9600642183423642,2.749526875129955
Tun,Ananas,0.26515819992436657,0.9600638977635783,2.749525957024717
Oksekød,Løg,0.26106138913399723,0.9585744040731312,2.764220555257052
Oksefilet,Kylling,0.19173074498928527,0.9572057898049088,2.7912198237538473
Tomat,Kylling,0.17219210891213915,0.9569176882661996,2.7903797173371663
Rucola,Gorgonzola,0.16563721164754822,0.9559839941797016,3.0778494423001512
Rucola,Ananas,0.16563721164754822,0.9559839941797016,2.7378415255695208
Skinke,Bacon,0.28123030379427705,0.95464270432178,3.1469688649011767
Salat,Løg,0.23937980587419638,0.9542713567839195,2.7518119496062643
Tomat,Jalapenos,0.17168788604563218,0.9541155866900176,3.0379285367095763
Tomat,Champignon,0.17143577461237866,0.9527145359019265,2.758855416429999
Tomat,Kebab,0.17130971889575192,0.9520140105078809,2.8445676630354124
Kebab,Champignon,0.31841674019916805,0.9514124293785311,2.7550847973206376
Gorgonzola,Ananas,0.2954745997730997,0.9512987012987013,2.7244233203619483
Pølser,Kebab,0.1847346527165007,0.9494655004859087,2.8369528494744682
Pølser,Løg,0.1847346527165007,0.9494655004859087,2.737953404345588
Oksekød,Champignon,0.2584142190848355,0.9488544318444803,2.747677389239738
Tacosauce,Chili,0.18032270263456449,0.948607427055703,3.395894728715204
Tacosauce,Tun,0.18032270263456449,0.948607427055703,3.4346429570209454
Artiskok,Spaghetti,0.17767553258540275,0.94820047090481,3.2797359213812327
Rejer,Ananas,0.28450775242657256,0.9481201428271372,2.7153202501977183
Tacosauce,Kylling,0.1800075633429976,0.946949602122016,2.7613126975313187
