id,title,description,price,purchases,desc_length
62314,Onion bhaji (4 stk.),Dybstegt løg med krydret kikærtemel,49.0,0.0,35
62315,Vegetable pakora (6 stk.),Dybstegt blomkål med krydret kikærtemel,59.0,0.0,39
62316,King prawn pakora (6 stk.),Kina rejer dybstegt i krydret kikærtemel,69.0,0.0,40
62317,Tandoori chicken,"Kylling marineret i yoghurt, tilsat tandoori krydderi og stegt i ovnen",69.0,0.0,70
62318,Seekh kebab,Hakket lamme og oksekødskebab serveres med salat og mint chutney,69.0,1.0,64
62319,Kalmi kebab (2 stk.),"Ovnstegt kyllingelår marineret i yogurt, cashew nødder og let krydret",79.0,0.0,69
62320,Pani puri (10 stk.),"Kendt Indisk street food, sprødt brødt fyldt med krydret kartoffelmos og hvide ærter serveret med special mint vand",59.0,0.0,115
62323,Tomato soup,Hjemmelavet krydret tomatsuppe,49.0,0.0,30
62324,Daal soup,Toor daal soup,49.0,0.0,14
62325,Chicken soup,Kylllinge suppe let krydret med kyllingkød stykker,59.0,0.0,50
62326,Daal garam masala,"Sorte linser, kidneybønner og kikærter, let krydret med piskefløde",119.0,0.0,66
62330,Paneer chana masala,"Kikærter med hjemmelavet ost, tomat, løg og sauce",99.0,1.0,49
62331,Navaratan shahi korma,"Friske grøntsager med smør, yoghurt, kokos, mandler og rosiner i creamy sauce",105.0,0.0,77
62332,Aloo gobi,"Kartofler og blomkål med løg, tomater, hvidløg og ingefær",99.0,0.0,57
62333,Malay kofta,"Kartofler med hjemmelavet ost, rosiner, nødder tilberedt i en creamy sauce med smør",99.0,0.0,83
62334,Bhindi masala,"Stegt okram med løg, tomater og krydderier",105.0,1.0,42
62335,Palak paneer,Hjemmelavet ost med spinat og krydderier,105.0,8.0,40
62336,Butter paneer,"Hjemmelavet ost tilberedt med mandler, rosiner og smør i tomatsauce",105.0,1.0,67
62337,Bhangan bharta,"Ovnstegte auberginer med tomater, løg og ingefær",105.0,2.0,48
62338,Mushroom creamy,"Champignoner med flødesauce, let krydret",105.0,0.0,40
62339,Soyabean curry,"Soyabean stykke med løg, tomater og let krydret",105.0,0.0,47
62340,Kathal sabji,"Jackfruit med løg, tomater, hvidløg, ingefær og let krydret",129.0,0.0,59
62341,Mix vegetables,Friske grøntsager i karrysauce,105.0,0.0,30
62343,Chicken garam masala,"Kylling i karrysauce, let krydret",125.0,0.0,33
62344,Chicken channa,Krydrede kyllingestykker med kikærter i karrysauce,125.0,1.0,50
62345,Chicken creamy,Krydrede kyllingestykker med karry i flødesauce,129.0,0.0,47
62346,Butter chicken,"Tandoori kylling tilberedt med mandler, rosiner og smør i tomatsauce",129.0,0.0,68
62347,Chicken shahi korma,"Krydrede kyllingestykker tilberedt med karry, mandler og safran i flødesauce",129.0,0.0,76
62348,Chicken tikka masala,"Tandoori kyllingestykker tilberedt med friske tomater, løg og peberfrugt i karrysauce",135.0,0.0,85
62349,Chicken vindaloo,Kylling tilberedt i meget stærk krydret sauce med rød chili. OBS! Kan ikke tilberedes mild!,135.0,0.0,91
62353,Chicken spinach,"Krydrede kyllingestykker tilberedt i karrysauce, fløde og spinat",135.0,0.0,64
62354,Chicken mughali,"Kyllingekød tilberedt i en krydret sauce med æg og limesaft. Husets egen specialret, lavet på gammel indisk original opskrift",145.0,0.0,125
62356,Fish garam masala,"Laks i tomatsauce, hvidløg, tomater og peberfrugt",149.0,0.0,49
62357,Shrimp curry,Rejer i let krydret karrysauce,149.0,0.0,30
62358,King prawn bhuna,"Kinarejer med løg, tomater og krydret sauce",149.0,0.0,43
62359,King prawn korma,"Kinarejer tilberedt med karry, mandler og safran i flødesauce",155.0,0.0,61
62360,Butter prawn,"Kinarejer i tomatsauce, mandler og smør",155.0,0.0,39
