item_id,item_name,profit,profit_price_up,profit_cost_down
450799,Mælkesnitte,336.0,352.80000000000007,336.0
450811,Flødebolle,336.0,352.8,336.0
451067,Oste Pølse,495.0,519.75,495.0
451181,Espresso,475.0,498.75,475.0
451192,Americano,375.0,393.75,375.0
451228,Te,320.0,336.0,320.0
451234,Pant Kop,415.0,435.75,415.0
451272,Unspecified,0.0,0.0,0.0
451334,Snacks & Chips,210.0,220.5,210.0
451343,Øl Ud af Huset,492.0,516.6,492.0
451475,Kyllingesalat,495.0,519.75,495.0
451529,50 cl. Kildevand,480.0,504.0,480.0
451649,Unspecified,0.0,0.0,0.0
451922,Unspecified,0.0,0.0,0.0
451975,Unspecified,0.0,0.0,0.0
453011,Frugt,210.0,220.5,210.0
453428,Bæreposer (Pr. stk),85.0,89.25,85.0
453645,Personale,380.0,399.0,380.0
453688,Unspecified,0.0,0.0,0.0
453871,Unspecified,0.0,0.0,0.0
454068,Ekstra Tilbehør 26x26 / 29x29 / Børne (5/8/20kr),165.0,173.25,165.0
454552,Unspecified,0.0,0.0,0.0
455762,Is,0.0,0.0,0.0
456327,Vand,445.0,467.25,445.0
456795,Sild med Karrysalat,406.0,426.30000000000007,406.0
456796,Kryddesild (Røde),406.0,426.30000000000007,406.0
459192,Marmelade,440.0,462.0,440.0
459228,Brugskunst,152.0,159.6,152.0
459495,Espresso,520.0,546.0,520.0
459506,Brugt brugskunst,0.0,0.0,0.0
459507,Chic antik,0.0,0.0,0.0
459615,Unspecified,0.0,0.0,0.0
459837,Unspecified,0.0,0.0,0.0
460011,Unspecified,0.0,0.0,0.0
460047,Unspecified,0.0,0.0,0.0
460128,Unspecified,0.0,0.0,0.0
460220,Unspecified,0.0,0.0,0.0
460595,Unspecified,0.0,0.0,0.0
460610,"1stk, Laks i Spicy",351.0,368.55,351.0
460620,1stk. Laks i Teriyaki,338.0,354.90000000000003,338.0
460622,1stk. Kyllingebryst,286.0,300.3,286.0
460707,"Flamberet Tun (med teriyakisauce, sesam)",275.0,288.75,275.0
460721,Avocado Nigiri,450.0,472.50000000000006,450.0
460904,Små Agurk Surimi,440.0,462.0,440.0
460908,Soy Sauce,105.0,110.25,105.0
460910,Teriyaki Sauce,495.0,519.75,495.0
460911,Japansk Mayo,240.0,252.0,240.0
460919,Goma Dressing,240.0,252.0,240.0
460921,Ekstra Ingefær,95.0,99.75,95.0
460947,San pellegrino,242.0,254.10000000000002,242.0
460949,Kildvand,220.0,231.0,220.0
460960,Japansk Soda - Ramune Blueberry,377.0,395.85,377.0
461061,Bærepose,60.0,63.0,60.0
461062,Mad ud af Huset Variabel Pris,0.0,0.0,0.0
461715,Pesto,480.0,504.0,480.0
461716,Chili,140.0,147.0,140.0
461718,Dressing,160.0,168.0,160.0
461723,SP Pompelmo,375.0,393.75,375.0
461725,Redbull,350.0,367.5,350.0
462452,Ekstra Fyld Pizza Alm. Mellem,0.0,0.0,0.0
462605,Unspecified,0.0,0.0,0.0
462764,Unspecified,0.0,0.0,0.0
462800,Pizza Ekstra 5-20kr,0.0,0.0,0.0
462969,Proteinbar,312.0,327.6,312.0
463097,Bærerpose,232.0,243.60000000000002,232.0
463299,Sutter,110.0,115.5,110.0
463938,Smørrebrød,0.0,0.0,0.0
464130,Tequila,476.0,499.80000000000007,476.0
464630,Unspecified,0.0,0.0,0.0
465220,Unspecified,0.0,0.0,0.0
465340,Unspecified,0.0,0.0,0.0
465441,Unspecified,0.0,0.0,0.0
465461,Unspecified,0.0,0.0,0.0
465627,Unspecified,0.0,0.0,0.0
467108,Diverse,0.0,0.0,0.0
467175,Karry Eller Barbeque I Stedet for Standard,240.0,252.0,240.0
468005,Juleknas,440.0,462.0,440.0
468006,Trøffel kugler,440.0,462.0,440.0
468348,Alm Ekstra Tilbehør Til Pizza,475.0,498.75,475.0
468351,Fam Ekstra Tilbehør Til Pizza,110.0,115.5,110.0
468490,Dansk vand Harboe,384.0,403.20000000000005,384.0
468513,Appelsin Juice First Price,435.0,456.75,435.0
468521,Kakao Matilde 200ml,165.0,173.25,165.0
469951,Charcuteri,0.0,0.0,0.0
469952,Delikatesser,0.0,0.0,0.0
469953,Is,0.0,0.0,0.0
469954,Andet,0.0,0.0,0.0
469955,Bæreposer,220.0,231.0,220.0
470420,Amerikano Single TO GO,420.0,441.0,420.0
470608,Unspecified,0.0,0.0,0.0
470756,Fuldkornsbolle med Graskekerne,341.0,358.05,341.0
470759,Unspecified,0.0,0.0,0.0
470792,Grahamsbrod,484.0,508.20000000000005,484.0
470893,Nodde Mazarin,464.0,487.20000000000005,464.0
470904,Pandekage,468.0,491.40000000000003,468.0
470979,Chinoto,385.0,404.25,385.0
470986,Sparkling Ginger,490.0,514.5,490.0
471004,Kaffebananbrod Vegan,468.0,491.40000000000003,468.0
471009,Jorber Kage,429.0,450.45000000000005,429.0
471073,Unspecified,0.0,0.0,0.0
471191,Unspecified,0.0,0.0,0.0
471254,Unspecified,0.0,0.0,0.0
471599,Unspecified,0.0,0.0,0.0
473331,Chicken Nuggets,345.0,362.25,345.0
473345,Chili Cheese Tops 1 stk.,435.0,456.75,435.0
473370,Bacon 1 stk.,130.0,136.5,130.0
477998,Unspecified,0.0,0.0,0.0
478032,Carlsberg Pilsner,0.0,0.0,0.0
478033,Tuborg Classic,0.0,0.0,0.0
478034,Brown Ale,0.0,0.0,0.0
478035,Rød Tuborg,0.0,0.0,0.0
478036,Double,0.0,0.0,0.0
478041,Juicy IPA,0.0,0.0,0.0
478046,1664 Blanc,0.0,0.0,0.0
478051,Pulp Art,0.0,0.0,0.0
478053,Mikkeller Burst Ipa,0.0,0.0,0.0
478054,Brooklyn Uden Alkohol,0.0,0.0,0.0
478059,Panaché,0.0,0.0,0.0
478063,Monaco,0.0,0.0,0.0
478212,Ti-Punch de Guadeloupe,490.0,514.5,490.0
478444,Unspecified,0.0,0.0,0.0
478635,Unspecified,0.0,0.0,0.0
478794,Unspecified,0.0,0.0,0.0
479021,Unspecified,0.0,0.0,0.0
480029,Tilbud 1,0.0,0.0,0.0
480030,Bossy,480.0,504.0,480.0
480049,Ris,520.0,546.0,520.0
480355,Unspecified,0.0,0.0,0.0
