id,place_id,created,title,type,multiple_selections,minimum_selections,maximum_selections,index,created_datetime
820481,465308,1705014819,Size,Optional,0,1,1,1,2024-01-12T01:13:39
820901,465308,1705020453,Size,Optional,0,1,1,6,2024-01-12T02:47:33
820913,465308,1705020875,Size,Optional,0,1,1,7,2024-01-12T02:54:35
820924,465308,1705021025,Size,Optional,0,1,1,8,2024-01-12T02:57:05
820934,465308,1705021323,Size,Optional,0,1,1,9,2024-01-12T03:02:03
820942,465308,1705021459,Size,Optional,0,1,1,10,2024-01-12T03:04:19
820955,465308,1705021548,Size,Optional,0,1,1,11,2024-01-12T03:05:48
820959,465308,1705021620,Size,Optional,0,1,1,12,2024-01-12T03:07:00
820966,465308,1705021713,Size,Optional,0,1,1,13,2024-01-12T03:08:33
824897,552846,1705057478,Size 1,Optional,0,1,1,0,2024-01-12T13:04:38
824898,552846,1705057478,Size 2,Optional,0,1,1,1,2024-01-12T13:04:38
824901,552846,1705057478,Alm/Dp/Oste Ekstra Toppings,Optional,0,0,22,2,2024-01-12T13:04:38
824902,552846,1705057478,3 Pers Ekstra Toppings,Optional,0,0,22,3,2024-01-12T13:04:38
824903,552846,1705057478,5 Pers Ekstra Toppings,Optional,0,0,22,4,2024-01-12T13:04:38
824904,552846,1705057478,8 Pers Ekstra Toppings,Optional,0,0,22,5,2024-01-12T13:04:38
824905,552846,1705057478,Durum Rulle Choice,Optional,0,1,1,6,2024-01-12T13:04:38
824906,552846,1705057478,Pitabrød Choice,Optional,0,1,1,7,2024-01-12T13:04:38
824907,552846,1705057478,Ekstra Tilbehør,Optional,0,0,3,8,2024-01-12T13:04:38
824908,552846,1705057478,Salat Choice,Optional,0,1,1,9,2024-01-12T13:04:38
824909,552846,1705057478,Sodavand Choice,Optional,0,1,1,10,2024-01-12T13:04:38
824911,552846,1705057478,Vin Choice,Optional,0,1,1,11,2024-01-12T13:04:38
827191,498629,1705061572,The,Optional,0,1,1,10,2024-01-12T14:12:52
828993,532010,1705065462,Drikkevarer,Optional,1,1,1,0,2024-01-12T15:17:42
834768,686203,1705076577,Sodavand,Optional,0,1,1,1,2024-01-12T18:22:57
836651,417509,1705078430,Goong,Optional,0,1,1,0,2024-01-12T18:53:50
851883,702457,1705118253,Skæreost Choice,Optional,0,1,1,0,2024-01-13T05:57:33
851884,702457,1705118253,Fransk Brie eller Danablue Choice,Optional,0,1,1,1,2024-01-13T05:57:33
853068,789186,1705140136,Size 1,Optional,0,1,1,0,2024-01-13T12:02:16
853069,789186,1705140136,Alm Tilbehør,Optional,0,1,32,1,2024-01-13T12:02:16
853070,789186,1705140136,Deep Pan Tilbehør,Optional,0,1,32,2,2024-01-13T12:02:16
853071,789186,1705140136,Fam Tilbehør,Optional,0,1,32,3,2024-01-13T12:02:16
853072,789186,1705140136,Pitabrød Choice,Optional,0,1,1,4,2024-01-13T12:02:16
853073,789186,1705140136,Hjemmelavet Sandwich Choice,Optional,0,1,1,5,2024-01-13T12:02:16
853074,789186,1705140136,Size 2,Optional,0,1,1,6,2024-01-13T12:02:16
853495,789186,1705141011,Size 1,Optional,0,1,1,0,2024-01-13T12:16:51
853496,789186,1705141011,Alm Tilbehør,Optional,0,0,32,1,2024-01-13T12:16:51
853497,789186,1705141011,Deep Pan Tilbehør,Optional,0,0,32,2,2024-01-13T12:16:51
853498,789186,1705141011,Fam Tilbehør,Optional,0,0,32,3,2024-01-13T12:16:51
